Date  ,Time,Temperature (ºC),Luminosity (lux)
2023-06-13,13:25,28.12,1370.88
2023-06-13,13:25,28.12,1370.88
2023-06-13,14:27,28.75,1463.04
2023-06-13,14:49,28.69,1474.56
2023-06-13,15:09,28.81,1474.56
2023-06-13,15:51,28.56,1468.8
2023-06-13,16:13,28.56,1543.68
2023-06-13,16:13,28.56,1543.68
2023-06-13,16:35,28.0,1048.32
2023-06-13,16:55,27.87,1324.8
2023-06-13,17:16,26.87,1267.2
2023-06-13,17:36,26.5,1048.32
2023-06-13,17:56,26.56,1261.44
2023-06-13,17:56,26.56,1261.44
2023-06-13,18:59,25.94,371.52
2023-06-13,18:59,25.94,371.52
2023-06-13,18:59,25.94,371.52
2023-06-13,19:19,25.5,322.56
2023-06-13,19:40,25.19,243.36
2023-06-13,20:00,25.69,220.32
2023-06-13,20:20,24.63,167.76
2023-06-13,20:40,24.94,118.8
2023-06-13,20:40,24.94,118.8
2023-06-13,21:00,24.69,88.2
2023-06-13,21:20,24.56,36.36
2023-06-13,21:42,24.69,14.58
2023-06-13,22:27,24.0,8.64
2023-06-13,22:48,23.81,8.64
2023-06-13,23:09,23.75,8.6
2023-06-13,23:09,23.75,8.6
2023-06-13,23:29,23.62,8.6
2023-06-13,23:51,23.19,8.64
2023-06-14,00:11,23.75,8.64
2023-06-14,00:34,23.94,8.64
2023-06-14,00:34,23.94,8.64
2023-06-14,00:55,23.94,8.64
2023-06-14,01:15,23.87,8.6
2023-06-14,01:35,23.87,8.28
2023-06-14,01:56,23.75,8.28
2023-06-14,02:39,23.75,0.09
2023-06-14,02:39,23.75,0.09
2023-06-14,03:01,23.62,0.09
2023-06-14,03:01,23.62,0.09
2023-06-14,03:21,23.62,0.09
2023-06-14,03:42,23.56,0.09
2023-06-14,03:42,23.56,0.09
2023-06-14,04:02,23.44,0.14
2023-06-14,04:23,23.44,0.45
2023-06-14,04:43,23.38,4.05
2023-06-14,05:24,23.19,74.52
2023-06-14,05:44,23.19,145.44
2023-06-14,06:05,23.19,233.28
2023-06-14,06:25,23.12,309.6
2023-06-14,06:45,23.06,385.92
2023-06-14,07:06,23.0,455.04
2023-06-14,07:26,22.81,527.04
2023-06-14,07:46,22.69,613.44
2023-06-14,08:06,22.75,699.84
2023-06-14,08:27,22.81,794.88
2023-06-14,08:47,23.19,892.8
2023-06-14,09:07,23.31,2453.76
2023-06-14,09:48,26.5,6543.36
2023-06-14,10:32,25.5,1509.12
2023-06-14,10:55,24.56,1365.12
2023-06-14,11:15,24.25,1244.16
2023-06-14,11:35,25.62,967.68
2023-06-14,11:56,25.56,737.28
2023-06-14,12:40,25.44,858.24
2023-06-14,13:00,25.37,1175.04
2023-06-14,13:21,25.69,910.08
2023-06-14,13:41,25.81,864.0
2023-06-14,13:41,25.81,864.0
2023-06-14,14:01,26.0,915.84
2023-06-14,14:21,26.31,973.44
2023-06-14,14:42,26.56,1082.88
2023-06-14,15:02,26.5,1123.2
2023-06-14,15:02,26.5,1123.2
2023-06-14,15:23,26.75,1175.04
2023-06-14,15:43,26.87,1186.56
2023-06-14,15:43,26.87,1186.56
2023-06-14,16:03,26.94,1117.44
2023-06-14,16:23,26.94,1077.12
2023-06-14,16:23,26.94,1077.12
2023-06-14,16:43,27.0,1031.04
2023-06-14,17:03,27.13,961.92
2023-06-14,17:23,27.06,887.04
2023-06-14,17:43,27.19,771.84
2023-06-14,18:04,26.94,691.2
2023-06-14,18:04,26.94,691.2
2023-06-14,18:24,27.0,624.96
2023-06-14,18:44,26.75,544.32
2023-06-14,19:04,26.75,596.16
2023-06-14,19:24,26.56,397.44
2023-06-14,19:44,26.31,339.84
2023-06-14,20:04,26.06,283.68
2023-06-14,20:04,26.06,283.68
2023-06-14,20:24,26.0,213.12
2023-06-14,20:44,25.88,145.44
2023-06-14,21:04,25.81,80.64
2023-06-14,21:24,25.62,31.14
2023-06-14,21:44,25.5,8.28
2023-06-14,22:04,25.06,2.79
2023-06-14,22:24,25.06,2.2
2023-06-14,22:44,24.94,2.03
2023-06-14,23:05,24.87,2.03
2023-06-14,23:24,24.44,1.98
2023-06-14,23:44,24.56,2.03
2023-06-15,00:04,24.69,2.03
2023-06-15,00:25,24.63,2.03
2023-06-15,00:45,24.56,2.03
2023-06-15,01:05,24.56,2.12
2023-06-15,01:25,24.44,2.12
2023-06-15,01:44,24.37,1.98
2023-06-15,02:04,24.31,1.26
2023-06-15,02:25,24.25,1.22
2023-06-15,02:45,24.12,0.5
2023-06-15,03:05,24.0,0.5
2023-06-15,03:26,24.0,0.5
2023-06-15,03:46,23.87,0.5
2023-06-15,04:06,23.75,0.63
2023-06-15,04:26,23.75,1.85
2023-06-15,05:07,23.44,48.96
2023-06-15,05:27,23.5,126.72
2023-06-15,05:46,23.44,218.88
2023-06-15,06:06,23.38,305.28
2023-06-15,06:26,23.5,385.92
2023-06-15,06:46,23.56,460.8
2023-06-15,07:06,23.69,544.32
2023-06-15,07:26,23.5,622.08
2023-06-15,07:46,23.31,705.6
2023-06-15,08:06,23.56,754.56
2023-06-15,08:27,23.69,835.2
2023-06-15,08:47,23.94,927.36
2023-06-15,09:06,24.31,2350.08
2023-06-15,09:28,24.56,1382.4
2023-06-15,09:51,25.06,2200.32
2023-06-15,09:51,25.06,2200.32
2023-06-15,10:12,26.12,4008.96
2023-06-15,10:12,26.12,4008.96
2023-06-15,10:12,26.12,4008.96
2023-06-15,10:34,25.69,1382.4
2023-06-15,10:34,25.69,1382.4
2023-06-15,10:56,25.69,1249.92
2023-06-15,11:16,25.69,1169.28
2023-06-15,11:38,25.69,1082.88
2023-06-15,11:58,25.88,1031.04
2023-06-15,12:18,25.81,1025.28
2023-06-15,12:18,25.81,1025.28
2023-06-15,12:39,25.94,1054.08
2023-06-15,12:59,26.19,973.44
2023-06-15,13:20,26.37,938.88
2023-06-15,13:42,26.56,887.04
2023-06-15,14:23,27.06,1042.56
2023-06-15,14:23,27.06,1042.56
2023-06-15,14:43,27.31,1123.2
2023-06-15,15:04,27.56,1192.32
2023-06-15,15:24,27.75,1209.6
2023-06-15,15:45,27.87,1232.64
2023-06-15,16:05,27.94,1192.32
2023-06-15,16:30,29.19,1267.2
2023-06-15,16:30,29.12,1261.44
2023-06-15,17:00,28.31,1042.56
2023-06-15,17:30,28.31,915.84
2023-06-15,18:00,28.06,835.2
2023-06-15,18:30,27.81,685.44
2023-06-15,19:00,27.81,576.0
2023-06-15,19:30,27.62,432.0
2023-06-15,20:00,27.37,299.52
2023-06-15,20:30,27.31,200.16
2023-06-15,21:00,27.19,52.56
2023-06-15,21:30,26.81,15.3
2023-06-15,21:30,26.81,15.3
2023-06-15,22:01,26.56,3.15
2023-06-15,22:31,26.31,2.12
2023-06-15,23:01,26.19,2.07
2023-06-15,23:31,26.0,2.03
2023-06-16,00:31,25.81,2.07
2023-06-16,01:01,25.69,2.03
2023-06-16,01:31,25.56,2.07
2023-06-16,02:01,25.44,1.26
2023-06-16,03:01,25.19,0.5
2023-06-16,04:01,24.87,0.5
2023-06-16,05:01,24.69,10.89
2023-06-16,05:31,24.63,52.2
2023-06-16,06:01,24.56,167.04
2023-06-16,06:30,24.63,380.16
2023-06-16,07:00,24.69,590.4
2023-06-16,07:30,24.75,656.64
2023-06-16,08:01,24.87,812.16
2023-06-16,08:34,25.0,887.04
2023-06-16,09:06,25.37,1774.08
2023-06-16,09:36,26.0,1624.32
2023-06-16,10:06,26.69,1255.68
2023-06-16,10:37,27.25,1152.0
2023-06-16,11:06,27.06,1025.28
2023-06-16,11:37,27.0,944.64
2023-06-16,12:07,27.25,898.56
2023-06-16,12:37,27.44,864.0
2023-06-16,13:43,28.0,852.48
2023-06-16,14:13,28.31,938.88
2023-06-16,14:42,28.69,1082.88
2023-06-16,15:12,28.87,1146.24
2023-06-16,15:42,29.25,1267.2
2023-06-16,16:12,29.37,1163.52
2023-06-16,16:43,29.44,1065.6
2023-06-16,17:13,29.5,875.52
2023-06-16,17:43,29.37,783.36
2023-06-16,18:13,29.25,665.28
2023-06-16,18:43,29.12,558.72
2023-06-16,19:13,29.0,550.08
2023-06-16,19:43,28.69,348.48
2023-06-16,20:13,28.56,254.88
2023-06-16,20:43,28.31,146.88
2023-06-16,21:13,28.06,54.36
2023-06-16,21:43,27.69,8.82
2023-06-16,22:13,27.37,2.43
2023-06-16,22:43,27.19,2.12
2023-06-16,23:13,26.75,2.12
2023-06-16,23:43,26.69,2.12
2023-06-17,00:13,26.62,2.12
2023-06-17,00:43,26.69,2.12
2023-06-17,01:13,26.37,2.03
2023-06-17,01:43,26.19,2.03
2023-06-17,02:13,25.94,1.22
2023-06-17,03:13,25.69,0.5
2023-06-17,04:13,25.37,0.72
2023-06-17,05:13,25.12,71.64
2023-06-17,05:43,25.06,159.12
2023-06-17,06:13,24.94,259.2
2023-06-17,06:43,24.94,475.2
2023-06-17,07:44,25.06,728.64
2023-06-17,08:14,25.25,840.96
2023-06-17,08:44,25.44,961.92
2023-06-17,09:14,26.44,3663.36
2023-06-17,09:45,27.19,3018.24
2023-06-17,10:15,30.62,8616.96
2023-06-17,10:45,27.56,1198.08
2023-06-17,11:15,27.75,748.8
2023-06-17,11:45,27.94,662.4
2023-06-17,12:15,28.12,783.36
2023-06-17,12:45,28.38,829.44
2023-06-17,13:15,28.69,817.92
